Total_Enrolled_Students,Community.Type,Property.Wealth,X..of.Students.Identify.as.Caucasian,X..of.Students.Enrolled.in.ESL.Classes,Total.Staff..FTE.,Total.Number.of.Teachers..FTE.,X.Staff....Central.Administrative,X.Staff....School.Administritative,X..of.teachers.who.Identify.as.Caucasian,Total.Operating.and.Other.Revenue..2020.2021.....,Total.Operating.and.Other.Revenue.per.Pupil..2020.2021.....,X..of.School.Nurses,Median.Household.Income..if.required..can.family.afford.hat.sunscreen....Community,Teacher.Turnover.Rate,ISD
71883,1,5,30.9,32.5,10564.8,5227.8,0.6,3.1,55.2,1043562227,13965,30,85017,18.1,Austin
6796,2,2,63.3,4.2,1032.6,495.3,1.5,8.7,89.7,143396533,22371,1,55524,32,Bartlett
2191,3,2,57.9,9.5,337.6,168,1.1,2.9,91.7,29442916,13481,22,103699,15.5,Belton
2362,4,3,1.1,70.2,321.3,144.7,1.2,2.9,25.6,28318848,11874,1,151339,13.4,Boerne
519,3,4,69.9,4.6,82.4,47,1.7,2.2,95.7,8321971,17446,4,133346,12.2,Bushland
6076,3,3,4.7,35.5,954.4,414.3,1.1,3.1,15,103678944,17214,21,117771,12.9,Canyon
27190,4,4,51.7,5.6,3293.2,1710.5,1.2,2.8,78.1,311887090,12295,37,100373,16.6,Comal
1303,5,4,45,15.3,225.6,108.3,2.1,4.5,79.2,18920313,14399,2,86022,31.4,Comfort
67490,3,3,43.3,17.2,8492.3,4239.6,0.5,2.6,74.7,740688186,11520,80,121060,13.9,Conroe
263,2,3,40.7,28.5,38.6,20.8,1.3,3.9,95.2,2809244,16238,NA,97500,6.5,Coupland
10853,4,3,4.6,47.5,1698.6,769.7,1.3,2.5,49.4,148234234,13929,1,74316,21.2,Del Valle
692,4,4,0.4,92.3,83.6,30.6,1.1,2.1,19.1,9075742,12837,8,145240,16.8,Dropping Springs
7809,4,5,64.6,2.3,1083,599.8,1.4,2.7,82.5,103178253,12980,9,182966,20.7,Eanes
1114,5,2,46.9,28.5,174.3,84.6,2.9,2.4,88.2,15909828,14841,1,77597,24.9,Florence
76543,1,3,14.7,18.1,10393.3,5002.6,0.4,2.5,40.6,894451679,11697,3,113373,16,Fort Bend
12566,3,4,43.5,18.2,1815.8,955.9,1,2.6,78.1,172790622,14610,8,59782,17.9,Georgetown
1982,5,5,66.5,9.5,263.2,144.7,1.6,3,87.1,29063475,15185,0,88507,15.6,Glen Rose
2293,3,4,65.1,10.5,331.7,165.4,1,2.7,89.5,30190574,13271,9,115825,19.5,Granbury
506,2,2,47.2,15,79.5,40.3,1.3,3.8,82.6,6219115,13851,1,69890,23.9,Granger
765,4,2,77,0.4,135.4,79.8,1.1,2.6,91.2,11693699,14992,30,90991,14.1,Hays
1715,2,1,22.4,7.5,287.5,110.3,3.6,1.9,67.4,28740651,17482,2,89583,12.3,Holland
8932,3,2,32.1,15,1242.2,622.7,0.9,2,76.4,107981295,12855,14,110091,20.1,Hutto
4735,5,3,26.5,36.3,814.9,351.3,1.7,2.6,74,67435327,14484,6,84638,25.7,Jarrell
3887,3,1,44.7,22.3,558.7,271.6,0.6,3.1,77.9,47750922,12104,51,69527,18.6,Killeen
1803,5,5,65.5,6.8,196,120,3.1,5.4,94,21600448,13391,4,108156,17.9,Lago Vista
10953,4,5,67.2,6.8,1255.2,673.3,0.6,2.6,85,148916095,13575,12,140460,20.2,Lake Travis
3632,3,2,16.2,23.3,581,256,0.6,2.8,74.8,55170183,16673,2,123018,15.8,Lamar
41543,4,3,50.4,10.3,5289.8,2970.3,0.5,2.3,80.4,512514790,12733,47,125385,16.8,Leander
6824,5,3,63.8,5.8,790.6,438.3,0.6,3,86.6,71058725,12871,12,128029,16.1,Liberty Hill
284,2,3,51.8,20.1,55.6,30.9,1.6,4,100,4276919,15385,1,120369,12.9,Lipan
13613,3,3,55.6,16.5,1711.5,900.4,1.3,2.4,84.5,167571074,12837,5,109206,21.2,Magnolia
9029,4,3,6.9,45,1250,607.5,1.2,5.4,44.5,133223650,14446,1450,97472,30,Manor
9328,3,3,75.1,3.2,1058.2,583.5,1.5,2.6,91.3,109522932,12300,2,162623,12.9,Montgomery
3378,5,2,46.8,9.9,404.5,223,0.7,3,86.3,42166201,12774,5,89902,12.4,Needville
9638,3,3,46.3,11.2,1138.2,595.4,1.3,3.4,73.1,113301721,12259,17,92278,16.8,New Braunfels
17098,3,2,27.3,35.9,2284.7,1078.9,0.7,2.4,64.6,224512361,13813,18,92662,18.9,New Caney
25348,4,3,22.4,25.5,3419.8,1855.6,1.4,2.7,65.5,357941728,14088,37,109821,19.1,Pflugerville
17818,5,1,56.9,9,2058.1,1076.4,2.9,4.4,83.4,200668544,11903,2,68269,9.1,Rogers
45990,4,3,35.9,13.5,6341.2,3445.4,0.6,2.8,72.5,565047009,11734,7,102675,15.9,Round Rock
322,3,3,85.7,0,52,29.2,1.1,3.3,100,5933899,18602,4,104189,20,Salado
8136,3,4,20.1,16,1240.2,571.8,0.9,2.7,54.4,112776031,14109,2,50415,18.2,San Marcos
4362,3,1,51.9,23.2,655.2,299.7,2,3.1,81.1,54491971,13146,4,94130,21.9,Splendora
3511,5,4,3.3,22.1,473.6,241.6,1.5,3,21.8,47147827,14218,3,88875,25.1,Stafford
3014,5,2,25,16.1,456.1,212.2,1.5,3.2,75,42909998,14502,8,67191,28,Taylor
366,3,2,1.4,0,58,33,1.8,3,6.1,5155092,11330,19,46592,22.8,Temple
786,2,2,63.2,4.3,109.1,59,1.5,2.7,88.1,10899249,14027,1,102813,23.8,Thrall
706,2,2,77.1,6.2,121.8,66.1,1.3,2.7,92.9,12007032,16314,2,97115,21.6,Tolar
1050,5,1,71.7,4,174.9,88,1.7,4.1,94.3,13861431,13603,2,106691,21.7,Troy
8395,3,3,50.8,15,1039,479.2,0.8,2.7,82.3,94079409,11994,3,79320,22.6,Willis
126,5,4,20.6,7.1,34.1,17.4,1.4,2.5,64.1,4515410,33447,4,90187,13.8,Wimberly