County,ISD,Sunscreen Use,UV Protective Clothing,Hats,Student Education,Teacher Education,Outdoor Shade,Scheduling,Parent Outreach,Resource Allocatoin,Accountability,Modeling
Somervell,Glen Rose,1,0,1,0,0,0,0,0,0,0,0
Hays,Dropping Springs,1,0,0,0,0,1,0,0,0,0,0
Hays,Hays,1,0,1,0,0,1,1,1,1,0,0
Hays,San Marcos,1,0,1,0,0,0,0,0,0,0,0
Hays,Wimberly,1,0,1,0,0,1,0,0,1,0,0
Williamson,Coupland,1,0,1,0,0,0,0,0,0,0,0
Williamson,Florence,1,0,1,0,0,0,0,0,0,0,0
Williamson,Georgetown,1,0,1,0,0,1,1,1,1,0,0
Williamson,Granger,1,0,1,0,0,0,0,1,0,0,0
Williamson,Hutto,1,0,1,0,0,1,1,0,1,0,0
Williamson,Jarrell,1,0,1,0,1,0,0,0,1,0,0
Williamson,Leander,0,0,0,0,0,1,0,0,1,0,0
Williamson,Liberty Hill,1,0,1,1,0,0,1,1,0,0,0
Williamson,Round Rock,1,0,1,1,1,1,0,1,1,0,0
Williamson,Taylor,1,0,1,0,0,1,0,1,0,0,0
Williamson,Thrall,1,0,1,0,0,0,0,0,0,0,0
Comal,Comal,1,0,1,0,0,1,0,0,1,0,0
Comal,New Braunfels,1,0,1,0,0,1,0,0,1,0,0
Travis,Austin,1,0,1,0,0,1,1,1,0,0,0
Travis,Del Valle,1,0,1,0,0,1,0,0,1,0,0
Travis,Eanes,0,0,1,0,0,1,0,0,1,0,0
Travis,Lago Vista,1,0,1,0,0,0,0,0,0,0,0
Travis,Lake Travis,1,0,1,0,0,0,0,1,0,0,0
Travis,Manor,0,0,1,0,0,1,0,0,1,0,0
Travis,Pflugerville,1,0,1,0,0,0,0,0,0,0,0
Montgomery,Conroe,1,0,1,0,0,1,0,0,1,0,0
Montgomery,Magnolia,1,0,1,0,0,0,0,0,0,0,0
Montgomery,Montgomery,1,0,1,0,0,0,0,0,0,0,0
Montgomery,New Caney,1,0,1,0,0,0,0,1,0,0,0
Montgomery,Splendora,1,0,1,0,0,1,0,0,0,0,0
Montgomery,Willis,1,0,1,0,0,0,0,1,0,0,0
Fort Bend,Fort Bend,1,0,1,1,0,0,0,1,0,0,0
Fort Bend,Lamar,1,0,1,0,0,0,0,1,0,0,0
Fort Bend,Needville,1,0,1,1,0,0,0,0,0,0,0
Fort Bend,Stafford,1,0,1,0,0,0,0,0,0,0,0
Bell,Bartlett,1,0,1,0,0,1,0,0,0,0,0
Bell,Belton,1,0,1,0,0,0,0,0,0,0,0
Bell,Holland,1,0,1,0,0,0,0,0,0,0,0
Bell,Killeen,1,0,1,0,0,1,1,0,1,0,0
Bell,Rogers,1,0,1,0,0,0,0,0,0,0,0
Bell,Salado,1,0,1,0,0,1,1,0,0,0,0
Bell,Temple,1,0,1,1,0,1,0,1,1,0,0
Bell,Troy,1,0,1,0,0,0,0,0,0,0,0
Randall,Bushland,1,0,1,0,0,0,0,0,0,0,0
Randall,Canyon,1,0,1,0,0,0,0,0,0,0,0
Hood,Granbury,1,0,1,0,0,0,0,0,0,0,0
Hood,Lipan,1,0,1,0,0,1,0,0,0,0,0
Hood,Tolar,1,0,1,0,0,0,0,0,0,0,0
Kendall,Boerne,1,0,1,0,0,1,0,0,0,0,0
Kendall,Comfort,1,0,1,0,0,0,0,0,0,0,0