"Total.number.of.enrolled.sutdents","Community.Type","TAX.Rate","Property.Wealth","X..of.Students.Identify.as.Caucasian","Percentage.Students.in.Gifted.Talented.Education","Percentage.Female.Student","Percentage.Students.Enrolled.in.ESL.Classes","Attendance.Rate","Percentage.Students.on.Free.and.Reduced.Lunch","Total.Staff.FTE","Total.Number.of.Teachers.FTE","Percentage.Staff.Central.Administrative","Percentage.Staff.School.Administritative","Percentage.Teachers.Identify.as.Caucasian","Total.Operating.and.Other.Revenue.2020.2021","Total.Operating.and.Other.Revenue.per.Pupil.2020.2021","Percentage.School.Nurses","Median.Household.Income.Community","Teacher.Turnover.Rate","Median.Household.Income.Parents","Percentage.Students.Graduating","ISD","sum_all_strength"
3101,1,2,5,57,12.4,35223,6.1,95.2,34.9,325.3,191.9,0.6,3.1,91.7,34887550,13215,35,85017,18.1,102597,96.3,"Austin",7
6796,2,2,2,63.3,6.7,3058,4.2,95.9,93.2,1032.6,495.3,1.5,8.7,89.7,143396533,22371,1,55524,32,57137,100,"Bartlett",2
2191,3,4,2,57.9,11.5,1074,9.5,95.5,37.6,337.6,168,1.1,2.9,91.7,29442916,13481,22,103699,15.5,81169,97.4,"Belton",1
2362,4,3,3,1.1,0,1157,70.2,96.6,20.7,321.3,144.7,1.2,2.9,25.6,28318848,11874,13,151339,13.4,120003,99,"Boerne",3
519,3,2,4,69.9,6,254,4.6,97.1,16.9,82.4,47,1.7,2.2,95.7,8321971,17446,4,133346,12.2,102836,99.2,"Bushland",1
6076,3,3,3,4.7,10.3,2977,35.5,97.9,39.4,954.4,414.3,1.1,3.1,15,103678944,17214,21,117771,12.9,87253,96.2,"Canyon",1
1555,4,3,4,41.1,10.9,13051,15.2,96.7,30.9,223.6,115.9,1.2,2.8,92.1,19490886,12840,41,100373,16.6,120935,98.5,"Comal",5
1303,5,3,4,45,5,652,15.3,95.8,45.6,225.6,108.3,2.1,4.5,79.2,18920313,14399,3,86022,31.4,89517,98.8,"Comfort",2
2270,3,2,3,24.1,8.1,33070,11.9,96.2,44.3,424.5,189,0.5,2.6,72.7,30845686,13176,74,121060,13.9,99335,96.5,"Conroe",5
1172,2,2,3,4.2,4.6,118,6.7,97.7,70.6,257,110.1,1.3,3.9,20.4,24417518,19302,NA,97500,6.5,108036,NA,"Coupland",1
783,4,3,3,60.2,4.7,5209,5,96.5,90.1,132.7,71.6,1.3,2.5,90.2,13423569,17756,1,74316,21.2,79213,94.4,"Del Valle",3
272,4,4,4,5.5,0,339,2.9,98.5,4.3,49.6,23.3,1.1,2.1,35.7,5156412,17967,8,145240,16.8,197658,98.6,"Dropping Springs",2
13358,4,2,5,0.9,9.9,3826,41.7,97.7,0,1807.5,807.7,1.4,2.7,1.9,226654405,16185,9,182966,20.7,250001,99.4,"Eanes",4
629,5,3,2,40.9,5,512,9.2,95.8,48.3,96.4,51.9,2.9,2.4,86.5,9716674,16194,1,77597,24.9,105655,96.6,"Florence",1
764,1,3,3,60.3,6.4,37506,2.4,96.3,46,103.7,58.3,0.4,2.5,93.1,11220990,14460,3,113373,16,104262,94.7,"Fort Bend",4
1036,3,3,4,39.5,6.5,6157,4.2,94.1,41.8,177.8,81.3,1,2.6,78.1,14199210,13759,8,59782,17.9,52681,93.9,"Georgetown",6
293,5,1,5,58,8.1,991,8.9,95.8,41.2,69.4,33.7,1.6,3,91.2,17589741,60239,0,88507,15.6,117500,97.2,"Glen Rose",1
2293,3,2,4,65.1,2,1101,10.5,98,97.6,331.7,165.4,1,2.7,89.5,30190574,13271,9,115825,19.5,80137,95.2,"Granbury",1
46,2,1,2,84.8,3.2,248,0,94.7,56.3,12.8,5.9,1.3,3.8,100,1335631,35148,1,69890,23.9,NA,93.3,"Granger",2
765,4,4,2,77,9.9,375,0.4,95.9,46.4,135.4,79.8,1.1,2.6,91.2,11693699,14992,33,90991,14.1,99939,92.1,"Hays",7
1715,2,2,1,22.4,3.8,806,7.5,92.1,39.7,287.5,110.3,3.6,1.9,67.4,28740651,17482,2,89583,12.3,73250,98,"Holland",1
22814,3,4,2,30.6,4.8,4287,18.8,97,14.6,2698.8,1439,0.9,2,74.4,304708429,13315,15,110091,20.1,118303,94,"Hutto",4
4735,5,4,3,26.5,8.7,2320,36.3,94.5,64.2,814.9,351.3,1.7,2.6,74,67435327,14484,6,84638,25.7,91750,89.4,"Jarrell",4
3887,3,2,1,44.7,4.1,1905,22.3,94.7,59.4,558.7,271.6,0.6,3.1,77.9,47750922,12104,53,69527,18.6,59513,88.6,"Killeen",6
910,5,2,5,45.9,6.9,829,1.8,97.6,22.2,191.3,89.8,3.1,5.4,60.7,21806579,24557,4,108156,17.9,94319,95.2,"Lago Vista",1
51,4,4,5,39.2,8.6,5148,7.8,97.2,5.1,3.1,1.9,0.6,2.6,78.3,1210781,17053,12,140460,20.2,177997,94.6,"Lake Travis",2
3632,3,3,2,16.2,3.6,1780,23.3,91.7,39.7,581,256,0.6,2.8,74.8,55170183,16673,2,123018,15.8,104577,94.4,"Lamar",2
328,4,4,3,61.9,20.4,19941,4.9,97,19.9,56,24.5,0.5,2.3,83.6,5168553,18135,47,125385,16.8,153794,97.5,"Leander",4
1093,5,4,3,71,6.9,3276,4.7,97.2,18.7,154.1,83.3,0.6,3,93.1,13807640,13051,12,128029,16.1,137917,93.7,"Liberty Hill",2
284,2,3,3,51.8,12.3,139,20.1,95.9,53.7,55.6,30.9,1.6,4,100,4276919,15385,1,120369,12.9,84102,96.8,"Lipan",2
2315,3,3,3,41.9,5.7,6670,17.2,94,48.5,316.6,173,1.3,2.4,82.9,28806925,12579,5,109206,21.2,104463,95.1,"Magnolia",1
541,4,4,3,31.6,9.6,4334,44,93.1,50.5,49.3,33.9,1.2,5.4,52.5,7313954,11099,19,97472,30,98152,92.3,"Manor",4
470,3,3,3,31.5,7.3,4477,22.6,95,28.7,58.9,25.2,1.5,2.6,71.4,6082885,12699,2,162623,12.9,114534,97.2,"Montgomery",1
4983,5,4,2,52,3.2,1689,10.6,96.2,46.5,654.6,369.2,0.7,3,89.2,67145590,13443,5,89902,12.4,74806,98.4,"Needville",2
1196,3,3,3,55.1,7.9,4626,3.3,96.1,38.4,237,122.4,1.3,3.4,86,20824240,17738,17,92278,16.8,118696,95.1,"New Braunfels",5
9638,3,4,2,46.3,5.7,8378,11.2,92.4,73.9,1138.2,595.4,0.7,2.4,73.1,113301721,12259,18,92662,18.9,81363,94.2,"New Caney",2
866,4,4,3,61.7,7.6,12167,6.9,95.6,45.8,153.7,77,1.4,2.7,89.6,11783493,13718,37,109821,19.1,94320,96,"Pflugerville",2
17818,5,2,1,56.9,8.3,8553,9,97.1,42.1,2058.1,1076.4,2.9,4.4,83.4,200668544,11903,2,68269,9.1,72500,96.9,"Rogers",1
242,4,3,3,37.6,12.7,22075,5.4,97.5,18.9,50.4,27.3,0.6,2.8,85.3,4261321,17905,7,102675,15.9,136628,95.9,"Round Rock",8
322,3,4,3,85.7,8.4,155,0,95.9,25.1,52,29.2,1.1,3.3,100,5933899,18602,4,104189,20,94715,98.8,"Salado",4
190,3,2,4,2.6,14.7,3905,18.9,94.5,53.5,50.4,20,0.9,2.7,10,3887231,19732,2,50415,18.2,65146,80.4,"San Marcos",1
783,3,4,1,33.1,6.5,2137,20.8,92.7,69.4,150.1,80.8,2,3.1,82.6,24790889,30644,4,94130,21.9,72934,93.5,"Splendora",3
401,5,3,4,13.7,3.8,1756,1.2,94.2,57.5,71.8,24.3,1.5,3,51.8,5433704,13897,3,88875,25.1,85459,95.5,"Stafford",0
1470,5,4,2,45.7,7.1,1477,14.9,96.4,66.6,211.9,106.5,1.5,3.2,83.5,20191579,13736,8,67191,28,80990,91.2,"Taylor",3
366,3,3,2,1.4,0,179,0,94.4,53.9,58,33,1.8,3,6.1,5155092,11330,19,46592,22.8,50756,92.8,"Temple",7
594,2,3,2,68,5.3,393,11.1,95.3,39.9,100.4,54.3,1.5,2.7,92.6,8252647,14377,1,102813,23.8,131308,98.3,"Thrall",1
706,2,3,2,77.1,8.1,339,6.2,96.1,38.7,121.8,66.1,1.3,2.7,92.9,12007032,16314,2,97115,21.6,75648,97.8,"Tolar",1
1050,5,3,1,71.7,7.4,515,4,93.8,51.8,174.9,88,1.7,4.1,94.3,13861431,13603,2,106691,21.7,67188,99.1,"Troy",1
230,3,3,3,86.5,6.2,4030,0,95.4,62.4,38,20,0.8,2.7,92.5,5341645,24730,3,79320,22.6,79652,94,"Willis",2
2606,5,3,4,69,13.5,62,5.3,94.3,32.7,367.3,182.5,1.4,2.5,92.8,33819290,13211,4,90187,13.8,121944,95.5,"Wimberly",3
686,2,1,3,80,1.9,336.14,17.15,96.3,31,107.73,67.19,0.9,1.9,98.4,8313630,12371,3,70917,18.8,95375,96.4,"Beckville",1
2621,5,2,5,56.7,6.1,1258.08,222.785,94.4,42.8,364.47,193.66,1.5,3.8,85.6,40246238,15222,4,55882,10.6,84493,94.6,"Carthage",1
493,2,4,1,90.3,2.9,236.64,14.297,94.2,49.5,82.61,40.95,2.6,2.6,100,6810191,14459,2,61071,21.3,87000,100,"Gary",1
137,2,1,2,69.3,1.5,54.8,2.055,93.9,78.8,NA,NA,3.5,5.6,77.5,2494776,17820,0,24861,22.1,NA,100,"Avinger",1
1132,5,1,3,58.5,6.6,554.68,14.716,92,52.5,225.84,105.05,1.7,4.7,67.6,19461803,15900,3,43566,22.1,54922,98.8,"Jefferson",1
2491,5,4,1,29.3,2.2,1170.77,792.138,94.5,53.5,385.14,174.38,2.3,3.7,78.8,35296062,14301,1,53201,28.4,62000,98.8,"Center",2
74,2,1,2,69.1,0,31.82,10.878,95.4,72.1,23.24,10.43,2.6,5.1,100,1393888,19632,1,43438,32.5,NA,NA,"Excelsior",1
711,2,4,2,79.6,3.8,362.61,49.059,94.7,45.2,114.03,55.68,1.8,4.8,98.2,11007131,16502,1,44145,11.2,NA,95.5,"Joaquin",1
455,2,2,1,23.7,4,218.4,95.55,95.3,91.1,82.24,40.7,1.3,5.1,77.1,7566344,15133,1,31217,13.8,31995,100,"Tenaha",1
705,2,3,1,56,1.2,352.5,53.58,94.8,65,114.68,64.87,2.2,4,73.1,10947470,16894,1,46156,22.5,66984,97.8,"Timpson",1
19818,3,3,1,38.8,3.6,10305.36,1288.17,98.5,51.3,802.13,382.88,0.9,2.7,93.4,156574420,10264,9,69614,15.9,80967,72.9,"Hallsville",1
705,2,2,1,86.5,8.4,345.45,11.985,95.5,34.6,120.94,65.44,0.8,2.6,93.6,9902820,13869,1,161795,15.4,NA,100,"Harleton",1
130,2,1,5,46.3,7.5,55.9,6.76,93.6,90.3,37.01,12.67,5.7,4.3,45.5,2815700,19690,1,NA,22.4,NA,NA,"Karnack",1
5057,5,3,2,22.1,7.9,2477.93,986.115,91.9,58.7,726.26,334.53,1.4,2.6,48.8,62149292,12295,12,47116,29.3,53942,83.1,"Marshall",1
825,2,4,2,51.5,6.6,396,70.125,95.2,46.2,158.43,72.15,2.1,3.5,86.1,13045689,15832,2,55534,27.9,50928,100,"Waskom",1
1879,6,2,1,53.8,9.1,920.71,41.338,94.7,51.9,358.42,154.34,1.4,2.7,88.1,26872807,14613,4,59957,14.9,95268,98.1,"Atlanta",1
256,2,2,1,88.8,0.8,130.56,5.376,93.6,79.6,49.16,24.15,4.6,6.9,100,3551940,14265,1,66250,12.5,89375,100,"Bloomburg",1
1149,5,1,1,73.6,5.1,574.5,55.152,95.1,39.5,208.35,108.77,1.4,3.1,90.9,14281993,12740,2,38125,13.3,37344,100,"Hughes Springs",1
660,2,1,2,65.8,7.5,356.4,38.28,95.1,65,136.64,64.57,5.4,4.4,89.4,9103659,14543,2,46028,30.8,73375,92.2,"Linden-Kildare",1
414,2,1,1,92.2,11,207,0,94.8,43,64.24,35.97,3.5,3.3,98,4928273,12477,2,36111,11.1,NA,100,"McLeod",1
954,5,2,3,75.1,7,448.38,2.862,95.1,45.8,173.44,93.55,1.8,3.4,92,19492966,20326,2,41063,22,40273,100,"Queen City",1
170,2,1,2,20.3,0.5,79.9,11.22,95,76,35.46,19.5,2.8,3,85.3,3202671,17406,1,44712,30.1,NA,100,"Anton",1
2691,5,3,2,21.3,4.5,1291.68,231.426,95.1,59,474.96,216.89,1.4,3.4,73.5,41348115,14873,5,47485,27.4,55781,97.6,"Levelland",4
546,5,4,1,69.5,6.4,267.54,9.828,96,35.4,86.53,51.53,1.2,3.5,87.5,7140903,15033,1,70313,24.6,66875,96.3,"Ropes",1
592,2,1,5,38.2,11.3,284.16,23.68,96.8,32.4,99.25,57.31,1.9,4.1,0.6,9104373,16143,1,51250,8.6,56136,100,"Sundown",0
234,2,3,2,56.4,5.5,105.3,1.872,96.2,54.7,34.81,20.25,3.1,2.1,89,2721104,15461,0,71818,22.8,NA,100,"Whitharral",1
623,2,4,1,39.7,4.9,292.81,173.194,95.1,77.1,123.59,60.41,1.6,4.5,86.7,11307746,18477,2,44006,23.5,45156,97.8,"Carlisle",1
3400,6,2,2,43.4,6.5,1734,520.2,95.6,46.2,550.15,242.24,1.7,2.9,81.2,41474317,12425,6,64368,22.4,71078,92.5,"Henderson",1
150,2,1,3,23.7,4.5,63,22.05,97.1,84,33.76,15.63,2.9,5.4,76.2,2776872,17036,1,48661,21.2,NA,92.3,"Laneville",1
234,2,1,1,47.1,0,107.64,62.244,94.6,55.9,47.07,26.37,2.9,4.5,84.3,3613943,15313,1,669,9.6,112500,100,"Leveretts Chapel",1
496,2,2,1,75.8,5.8,257.92,20.336,94.8,65.7,80.05,42.39,1.4,2.1,92.7,6115810,15176,3,55326,25.1,58500,88.5,"Mount Enterprise",1
494,2,4,1,70.4,11.4,222.3,11.362,95.6,63.5,96.89,49,2.1,2.2,94,10998827,23058,1,60610,20.5,69318,100,"Overton",1
1476,3,2,3,45.7,8.6,708.48,219.924,96,39,228.82,107.51,1.9,2.8,83.5,20191579,13736,1,80845,16.3,83281,99.2,"Tatum",1
1048,5,3,2,54.6,5.7,503.04,118.424,95.6,51,165.84,76.81,2.4,4.7,98.7,13952041,13585,2,40582,13.1,29855,100,"West Rusk County",1
760,2,1,1,66.6,5.3,349.6,20.52,95.5,46.1,98.18,56.41,2.1,5.2,93.2,8868103,12871,1,58262,27,NA,100,"Garrison",1
3821,3,3,2,44.7,4.1,1834.08,852.083,94.7,54.9,561.52,276.17,1.6,3.1,77.9,47750922,12104,6,59733,21.8,67427,92.6,"Kilgore",1
671,2,2,2,68.7,4.9,315.37,42.273,94.9,52.8,119.68,61.87,2.8,3.8,94.9,9626307,14994,1,43403,36.8,63028,97.3,"Big Sandy",1
2825,3,4,2,58.7,5,1327.75,262.725,93.3,61.7,477.52,198.6,2,2.7,86,40741713,16238,5,52013,11.9,56679,88.7,"Gilmer",1
1009,5,2,2,76.3,6.6,494.41,61.549,95,40.9,183.56,88.02,2.2,2.9,98.9,13190475,12869,3,54648,10,NA,98.7,"Harmony",1
1186,3,2,1,75.2,4.7,557.42,17.79,93.7,29.6,167.38,97.62,2.4,3,96.1,16140976,13796,2,85390,15.1,NA,98.5,"New Diana",1
825,2,3,1,68.3,3,404.25,70.125,93,49.9,171.28,84.14,2.1,4.2,91.5,13493056,14540,3,45536,20.2,50000,95.9,"Ore City",1
761,2,4,1,86.7,8.4,380.5,17.503,95.9,32.3,108.6,67.52,1.8,3.9,93.1,10193413,14138,2,65523,24,84265,94.7,"Union Grove",1
254,2,1,2,73.9,1.4,124.46,5.334,93.8,69,61.07,30.2,3.2,4.8,93.8,5115980,16664,1,71639,27.7,NA,100,"Union Hill",1
901,5,1,3,73.7,5.3,405.45,16.218,94.1,44.3,162.81,81,0.6,3.8,86.4,14547664,16550,3,41646,19.7,63571,88.9,"Hemphill",1
608,2,3,1,82.6,5,310.08,3.04,92.7,72.9,94.62,53.27,3.3,1.1,92.1,8013417,14133,3,42261,15.8,41696,100,"West Sabine",1
594,2,1,3,79.1,6.1,297,5.94,96.7,37,123.27,48.4,1.5,5,91.7,10600571,19814,1,61493,19.1,NA,100,"Cayuga",1
1194,5,3,1,80.3,4.6,585.06,32.238,96,38,188.98,104.5,1.1,2.1,90.5,16544197,13787,1,65253,13.9,77708,100,"Elkhart",1
802,2,4,2,75.2,7.3,360.9,32.882,95.4,50,141.64,68.02,1.4,3.5,93.3,10632871,13845,3,60404,21.6,55911,95.2,"Frankston",1
310,2,4,2,75.1,5.6,151.9,6.2,95.8,39.4,62.2,28.07,3.1,5,93.5,5044735,14925,1,63214,18.3,NA,95.8,"Neches",1
3297,6,4,2,27.3,2.3,1582.56,530.817,93.7,56.9,561.63,251.42,2.1,3.4,74.6,59631485,17549,6,46328,17.9,54084,99,"Palestine",1
349,2,2,2,87,3.3,NA,2.094,96.7,37.1,68.63,37.63,4.1,3.4,100,5339355,14588,1,48446,14.6,NA,100,"Slocum",0
1414,5,1,2,48,3.2,678.72,96.152,94.5,53.8,253.32,106.03,1.1,4.6,80.9,18304035,13538,4,46056,30.6,60000,97.8,"Westwood",1
